Image,Class,X_min,Y_min,X_max,Y_max
000002.png,car,659,191,701,223
000003.png,car,616,187,723,283
000004.png,car,277,185,343,213
000004.png,car,402,173,437,196
000006.png,car,507,170,576,211
000007.png,car,481,182,511,201
000007.png,car,563,174,617,224
000007.png,car,541,175,564,194
000008.png,car,0,193,389,373
000008.png,car,348,180,616,352
000008.png,car,603,177,717,261
000008.png,car,945,212,1241,371
000008.png,car,738,168,790,207
000008.png,car,887,179,953,235
000009.png,car,598,176,659,228
000010.png,car,368,190,542,293
000010.png,car,1012,201,1240,370
000010.png,car,823,182,922,256
000010.png,car,560,178,640,227
000010.png,car,804,177,855,236
000010.png,car,757,173,785,194
000013.png,car,456,184,528,245
000015.png,car,0,205,402,371
000016.png,car,0,202,380,375
000016.png,truck,123,91,467,229
000016.png,car,686,170,733,205
000018.png,car,523,195,550,219
000021.png,car,372,179,511,270
000021.png,car,474,163,552,241
000021.png,car,884,118,1097,209
000021.png,car,541,171,597,216
000021.png,car,596,166,630,189
000021.png,car,726,168,786,213
000021.png,truck,881,118,1097,210
000024.png,car,518,165,564,198
000024.png,car,443,163,480,197
000025.png,car,0,200,358,370
000025.png,car,355,186,531,307
000025.png,car,903,238,1240,370
000025.png,car,731,184,801,246
000025.png,car,562,175,624,216
000025.png,car,683,170,711,197
000027.png,car,28,127,318,298
000031.png,car,793,180,1017,335
000031.png,car,327,186,486,293
000031.png,car,1035,265,1241,371
000031.png,car,711,182,821,272
000031.png,truck,442,137,540,239
000031.png,car,658,182,712,224
000032.png,car,779,188,1007,333
000032.png,car,194,193,424,340
000032.png,truck,354,154,490,265
000034.png,car,42,196,324,286
000035.png,car,420,175,526,257
000037.png,car,558,176,628,230
000037.png,truck,0,1,478,370
000038.png,car,903,159,1231,372
000038.png,car,302,189,406,248
000038.png,car,822,181,928,289
000038.png,car,757,175,868,255
000038.png,car,590,173,636,216
000038.png,car,487,181,515,200
000038.png,car,718,173,769,219
000044.png,car,0,207,344,372
000044.png,car,385,185,504,271
000045.png,car,75,194,269,277
000045.png,car,275,178,373,236
000045.png,car,399,180,455,219
000045.png,car,454,181,515,206
000047.png,car,0,193,163,308
000047.png,car,217,166,419,289
000047.png,car,574,176,624,217
000047.png,car,412,179,489,226
000047.png,car,194,183,236,227
000049.png,car,307,180,487,263
000049.png,car,823,191,1033,319
000049.png,car,763,186,869,259
000049.png,car,1083,241,1241,371
000049.png,car,0,219,65,372
000049.png,car,594,180,657,228
000049.png,car,231,176,342,241
000049.png,car,0,180,236,277
000050.png,car,928,213,1241,369
000050.png,car,267,184,469,303
000050.png,car,683,173,801,257
000050.png,car,639,167,681,208
000052.png,car,252,201,375,261
000052.png,car,392,172,633,301
000052.png,car,711,178,800,232
000052.png,car,631,177,696,222
000052.png,car,123,200,183,231
000052.png,car,46,190,82,210
000053.png,car,182,180,427,345
000053.png,truck,873,3,1241,371
000053.png,car,709,189,826,267
000053.png,car,447,183,521,231
000053.png,car,654,184,703,215
000053.png,car,505,173,547,212
000055.png,car,32,191,120,227
000057.png,car,0,257,149,374
000057.png,car,515,198,561,231
000059.png,car,971,194,1097,245
000059.png,car,1129,197,1241,250
000059.png,car,509,179,540,203
000059.png,car,558,179,601,218
000063.png,car,871,188,978,248
000063.png,car,837,170,894,213
000066.png,car,667,175,711,203
000067.png,car,83,190,381,300
000067.png,car,432,181,599,281
000067.png,truck,0,77,440,258
000067.png,car,705,170,742,200
000067.png,car,670,172,702,196
000068.png,car,99,204,435,373
000068.png,car,0,216,189,370
000068.png,car,402,172,522,282
000068.png,car,515,189,551,244
000068.png,car,674,186,745,225
000068.png,car,640,182,683,210
000071.png,car,596,176,663,239
000072.png,car,289,185,459,289
000072.png,car,0,181,78,227
000072.png,car,590,171,631,208
000074.png,truck,0,95,261,363
000075.png,car,449,191,570,261
000075.png,car,555,183,620,235
000075.png,car,0,190,128,370
000077.png,car,572,175,611,204
000078.png,car,0,164,328,373
000078.png,car,305,171,450,305
000078.png,car,653,173,695,199
000079.png,car,0,192,327,324
000079.png,car,362,187,565,303
000079.png,car,698,170,741,202
000079.png,truck,9,84,443,226
000079.png,car,666,171,699,197
000080.png,car,452,175,526,225
000080.png,car,587,171,631,212
000080.png,car,534,174,565,199
000082.png,truck,0,107,191,240
000086.png,car,0,199,226,362
000086.png,car,368,179,501,227
000086.png,car,694,174,797,233
000086.png,car,0,282,66,372
000088.png,car,131,186,196,222
000088.png,car,176,190,311,246
000089.png,car,324,200,498,303
000089.png,car,657,178,714,225
000089.png,car,462,187,535,242
000089.png,car,633,172,665,204
000095.png,car,781,174,958,272
000095.png,car,147,198,333,287
000095.png,car,596,181,667,243
000095.png,car,73,183,200,243
000098.png,car,660,184,725,236
000098.png,car,343,191,422,240
000098.png,car,204,191,358,281
000101.png,car,110,198,218,249
000101.png,car,0,208,105,259
000101.png,car,567,177,637,238
000102.png,car,1157,181,1241,257
000102.png,car,1155,180,1207,210
000104.png,car,364,181,529,261
000104.png,car,817,182,881,238
000104.png,car,683,183,725,211
000104.png,car,606,193,657,221
000108.png,car,564,174,678,273
000110.png,car,887,152,1242,303
000110.png,car,350,181,436,248
000110.png,car,817,144,955,195
000110.png,car,430,173,534,246
000110.png,car,956,140,1035,180
000110.png,car,598,173,631,199
000111.png,car,741,171,912,253
000111.png,car,588,171,638,216
000111.png,car,685,173,754,222
000111.png,car,383,175,456,225
000113.png,car,929,151,1240,366
000113.png,car,27,189,156,237
000113.png,car,696,173,780,213
000113.png,car,215,169,308,231
000113.png,truck,216,169,308,230
000113.png,car,314,184,383,228
000113.png,car,775,169,827,209
000114.png,car,589,185,667,252
000114.png,car,192,182,297,237
000114.png,car,459,180,522,226
000114.png,car,504,180,546,210
000116.png,car,687,173,757,229
000116.png,car,795,161,1116,350
000116.png,car,563,178,603,212
000119.png,car,497,180,579,252
